No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
1	O=C	2.49    	0.623	2.11	0.527	2.21	0.552	4.21	1.052	4	2	3	1	1	1	0	0	2	2	1	0	1	0	0	0	0	0	0	0	50	25	0	25	0	1	0
2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	32.55	0.571	33.66	0.591	35.58	0.624	57.361	1.006	57	28	60	31	4	4	0	0	35	29	22	0	5	0	0	1	0	0	0	0	50.877	38.596	0	8.772	1.754	6	1
3	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C	33.54	0.55	35.66	0.585	37.86	0.621	61.06	1.001	61	29	64	32	4	4	0	0	36	32	23	0	6	0	0	0	0	0	0	0	52.459	37.705	0	9.836	0	6	0
4	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	19.29	0.665	18.51	0.638	19.15	0.66	29.59	1.02	29	17	30	18	9	3	0	6	24	12	12	2	3	0	0	0	0	0	0	0	41.379	41.379	6.897	10.345	0	5	0
5	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	27.77	0.661	25.71	0.612	26.57	0.633	43.21	1.029	42	24	45	27	5	5	0	0	32	18	15	4	5	0	0	0	0	0	0	0	42.857	35.714	9.524	11.905	0	9	0
6	O=C1NC(=O)C(C(=O)N1C)(CC)CC	16.45	0.588	16.11	0.575	16.91	0.604	28.47	1.017	28	14	28	14	3	3	0	0	17	14	9	2	3	0	0	0	0	0	0	0	50	32.143	7.143	10.714	0	5	0
7	O=C2NC(c1ccccc1)(C(=O)N2C)CC	18.12	0.604	18.6	0.62	19.46	0.649	30.14	1.005	30	16	31	17	8	2	0	6	22	14	12	2	2	0	0	0	0	0	0	0	46.667	40	6.667	6.667	0	4	0
8	O=P1(OCCCN1)N(CCCl)CCCl	21.68	0.748	17.08	0.589	19.38	0.668	29.54	1.019	29	14	29	14	1	1	0	0	15	15	7	2	2	1	0	0	2	0	0	0	51.724	24.138	6.897	6.897	6.897	7	2
9	O=C(O)C(O)C	7.47	0.623	6.33	0.527	6.63	0.552	12.63	1.052	12	6	11	5	1	1	0	0	6	6	3	0	3	0	0	0	0	0	0	0	50	25	0	25	0	3	0
10	O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	28.72	0.522	32.04	0.583	34.2	0.622	54.52	0.991	55	25	58	28	3	3	0	0	31	30	21	0	4	0	0	0	0	0	0	0	54.545	38.182	0	7.273	0	4	0
