No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
1	O=C2CCC3(C)(C1C(C=C(CC1)C(C)C)=CCC3(C2(C)C))	23.73	0.465	29.51	0.579	31.85	0.625	49.53	0.971	51	21	53	23	3	3	0	0	26	30	20	0	1	0	0	0	0	0	0	0	58.824	39.216	0	1.961	0	1	0
2	O=C2CCC3(C)(C1C(C=C(CC1)C(C)C)=CCC3(C2(C)C))	23.73	0.465	29.51	0.579	31.85	0.625	49.53	0.971	51	21	53	23	3	3	0	0	26	30	20	0	1	0	0	0	0	0	0	0	58.824	39.216	0	1.961	0	1	0
3	O=C2C=C1C4OC4(CCC1C3(C)(CCCC(O)(C)C23))C(C)C	25.23	0.505	28.93	0.579	30.99	0.62	49.31	0.986	50	22	53	25	2	2	0	0	27	28	19	0	3	0	0	0	0	0	0	0	56	38	0	6	0	3	0
4	O=C1C(=C(O)C(=O)C2=C1C(O)C(O)C3C2(C)CCCC3(C)(C))C(C)C	28.89	0.545	30.95	0.584	32.89	0.621	52.97	0.999	53	25	55	27	4	4	0	0	31	28	20	0	5	0	0	0	0	0	0	0	52.83	37.736	0	9.434	0	5	0
5	O=C1C(O)=C(C(=O)C3=C1C24(COC(O)C(C)(CCC2)C4(CC3(O))))C(C)C	30.06	0.578	30.86	0.593	32.58	0.627	52.42	1.008	52	26	55	29	4	4	0	0	33	26	20	0	6	0	0	0	0	0	0	0	50	38.462	0	11.538	0	6	0
6	O=C(O)C4(C)(CCCC3(C)(C4(CC(O)C1=CC2(OOC13(CC2))C(C)C)))	29.05	0.528	31.55	0.574	33.65	0.612	54.85	0.997	55	25	58	28	2	2	0	0	30	30	20	0	5	0	0	0	0	0	0	0	54.545	36.364	0	9.091	0	5	0
7	O=C(O)C4(C)(CCCC3(C)(C4(CCC12(OOC(C(=C1)C(O)(C)C)CC23))))	29.05	0.528	31.55	0.574	33.65	0.612	54.85	0.997	55	25	58	28	2	2	0	0	30	30	20	0	5	0	0	0	0	0	0	0	54.545	36.364	0	9.091	0	5	0
8	O=C(O)C2(C)(CCCC3(C)(C1C(=CC(O)(CC1)C(O)(C)C)C(O)CC23))	29.21	0.512	32.15	0.564	34.41	0.604	56.73	0.995	57	25	59	27	2	2	0	0	29	32	20	0	5	0	0	0	0	0	0	0	56.14	35.088	0	8.772	0	5	0
9	O=C2CC(=O)C(C)(C)C3CCc1cc(c(OC)cc1C23(C))C(C)C	27.23	0.524	30.93	0.595	32.99	0.634	51.31	0.987	52	24	54	26	8	2	0	6	31	28	21	0	3	0	0	0	0	0	0	0	53.846	40.385	0	5.769	0	3	0
10	O=C(C)C23(c1cc(O)c(cc1CCC2C(C)(C)CCC3)C(C)C)	26.06	0.492	31.02	0.585	33.3	0.628	51.86	0.978	53	23	55	25	7	1	0	6	29	30	21	0	2	0	0	0	0	0	0	0	56.604	39.623	0	3.774	0	2	0
