No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
1	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	19.96	0.768	18.44	0.709	18.84	0.725	26.84	1.032	26	18	28	20	14	2	0	12	28	8	14	0	4	0	0	0	0	0	0	0	30.769	53.846	0	15.385	0	4	0
2	O=C1c3ccccc3(C(=O)c2ccccc12)	17.3	0.721	17.42	0.726	17.94	0.748	24.18	1.008	24	16	26	18	14	2	0	12	26	8	14	0	2	0	0	0	0	0	0	0	33.333	58.333	0	8.333	0	2	0
3	O=C1c3cccc(O)c3(C(=O)c2c(O)cc(cc12)C)	21.12	0.728	20.04	0.691	20.6	0.71	29.72	1.025	29	19	31	21	14	2	0	12	29	10	15	0	4	0	0	0	0	0	0	0	34.483	51.724	0	13.793	0	4	0
4	O=C1C=C(C(=O)C=C1C)C(C)C	13.62	0.568	14.62	0.609	15.46	0.644	23.94	0.998	24	12	24	12	4	4	0	0	16	12	10	0	2	0	0	0	0	0	0	0	50	41.667	0	8.333	0	2	0
5	O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CC(O)C67(C)))	64.74	0.544	67.34	0.566	71.62	0.602	119.78	1.007	119	55	126	62	2	2	0	0	64	64	41	0	14	0	0	0	0	0	0	0	53.782	34.454	0	11.765	0	14	0
6	O=C3Oc1cc(O)ccc1c4oc2cc(O)ccc2c34	22.29	0.796	19.95	0.713	20.29	0.725	29.17	1.042	28	20	31	23	17	1	0	16	32	8	15	0	5	0	0	0	0	0	0	0	28.571	53.571	0	17.857	0	5	0
7	O=C(OCc1ccccc1)C	12.46	0.593	13.02	0.62	13.7	0.652	21.06	1.003	21	11	21	11	7	1	0	6	15	10	9	0	2	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	2	0
8	O=C2C(OC1OC(C)C(O)C(O)C1(O))=C(Oc3cc(O)cc(O)c23)c4cc(O)c(O)c(O)c4	38.56	0.728	33.12	0.625	34	0.642	55.76	1.052	53	33	56	36	14	2	0	12	44	20	21	0	12	0	0	0	0	0	0	0	37.736	39.623	0	22.642	0	12	0
9	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3	25.11	0.785	21.57	0.674	21.95	0.686	33.71	1.053	32	22	34	24	14	2	0	12	32	10	15	0	7	0	0	0	0	0	0	0	31.25	46.875	0	21.875	0	7	0
10	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccccc3	22.45	0.748	20.55	0.685	21.05	0.702	31.05	1.035	30	20	32	22	14	2	0	12	30	10	15	0	5	0	0	0	0	0	0	0	33.333	50	0	16.667	0	5	0
11	O=C(Oc1cc(cc(O)c1(O))C(=O)OCC%10OC(OC(=O)c3cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c3)C(OC(=O)c5cc(O)c(O)c(OC(=O)c4cc(O)c(O)c(O)c4)c5)C(OC(=O)c7cc(O)c(O)c(OC(=O)c6cc(O)c(O)c(O)c6)c7)C%10(OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9))c%11cc(O)c(O)c(O)c%11	141.34	0.812	115.06	0.661	116.46	0.669	186.06	1.069	174	122	184	132	70	10	0	60	172	52	76	0	46	0	0	0	0	0	0	0	29.885	43.678	0	26.437	0	46	0
