no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
1	O=[N+][O-]	1	0.83	0.000000	
2	c1ccccc1	0	0.55	0.000003	
3	CCC	0	0.69	0.000000	
4	O=[N+]([O-])c1ccccc1	1	0.75	0.000000	1,2,55
5	O=CO	0	0.68	0.000000	
6	CC(=O)O	0	0.55	0.000754	5,7
7	CCO	0	0.58	0.000001	
8	Cc1ccccc1	0	0.55	0.000960	2
9	C1CO1	1	0.91	0.000000	7
10	CCCl	1	0.80	0.000000	
11	CCCC	0	0.70	0.000000	3
12	CC1CO1	1	0.87	0.000000	3,7,9,92
13	O=[N+]([O-])c1ccco1	1	1.00	0.000000	1
14	CC(C)C	0	0.72	0.000000	3
15	OCC1CO1	1	0.98	0.000000	3,7,9,12,92
16	Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.000000	1,13
17	Cc1ccc(cc1)[N+](=O)[O-]	1	0.87	0.000002	1,2,4,8,55
18	CNN=O	1	0.84	0.000012	
19	c1ccc(cc1)Cl	0	0.67	0.000001	2
20	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	1	0.76	0.001642	2,33,46,47,63,70
21	Oc1ccccc1	0	0.70	0.000000	2
22	CCBr	1	0.81	0.000310	
23	CC=C	0	0.71	0.000000	
24	O=[N+]([O-])c1cccc(c1)[N+](=O)[O-]	1	0.89	0.000008	1,2,4,49,55,97
25	Cc1ccccc1(N)	1	0.79	0.001804	2,8
26	O=[N+]([O-])c1cccs1	1	1.00	0.000000	1
27	CCCCC	0	0.82	0.000000	3,11
28	C=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.000000	1,13,16
29	CCOC=O	0	0.62	0.006274	5,7,92
30	CCCCO	0	0.64	0.001297	3,7,11
31	O=[N+]([O-])c1ccc(N)cc1	1	0.81	0.003322	1,2,4,55
32	CCCCNN=O	1	0.96	0.000007	3,11,18,42,79,104,146
33	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	1	0.92	0.000040	2,63,70
34	O=CCl	1	0.83	0.002235	
35	C(CCl)NCCCl	1	0.83	0.002235	10,42,57,61,115,168
36	O=CC=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.000001	1,13,16,23,28
37	O=Cc1cc([N+](=O)[O-])sc1	1	1.00	0.000001	1,26
38	c1ccc3c(c1)Cc2ccccc23	1	0.88	0.000488	2,8
39	Nc1c3ccccc3(nc2ccccc12)	1	0.88	0.000488	2,52,54
40	CN(C)N=O	1	0.85	0.001419	18
41	O=S(=O)O	0	0.65	0.002411	
42	CCN	0	0.73	0.000001	
43	CCCCN(C)N=O	1	0.96	0.000022	3,11,18,32,40,42,58,75,79,104,146,168
44	O=C(Nc1ccccc1)c2cc([N+](=O)[O-])sc2	1	1.00	0.000004	1,2,26,37,45
45	O=C(N)c1cc([N+](=O)[O-])sc1	1	1.00	0.000004	1,26,37
46	c1cc2ccc3cccc4ccc(c1)c2c34	1	1.00	0.000004	2,63
47	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	1	0.95	0.000040	2,63
48	c1ccc2c(c1)c4cccc3cccc2c34	1	0.81	0.008969	2
49	O=[N+]([O-])c1cccc(c1)N	1	0.87	0.001330	1,2,4,55,97
50	C=Cc1ccc(cc1)[N+](=O)[O-]	1	1.00	0.000017	1,2,4,8,17,55
51	c1ccc3c(c1)c2ccccc2C4NC34	1	0.95	0.000135	2,8,42,130
52	c1ccc2nc3ccccc3(cc2(c1))	1	0.95	0.000246	2,54
53	CN(C)CCNC=O	1	0.82	0.009704	42168
54	c1ccncc1	0	0.75	0.000002	
55	O=Nc1ccccc1	1	0.94	0.000449	2
56	CCC(=O)O	0	0.81	0.000000	3,5,6,7
57	CCNCCCl	1	1.00	0.000063	10,42,61,115,168
58	CCN(C)N=O	1	1.00	0.000063	18,40,42,79,168
59	Oc1ccc(cc1)[N+](=O)[O-]	1	0.89	0.003311	1,2,4,21,55
60	c1cc(cc(c1)Cl)Cl	0	0.72	0.000088	2,19
61	NCCCl	1	1.00	0.000117	10,42
62	O=C(O)c1ccccc1	0	0.72	0.000139	2,5,8
63	c1ccc3c(c1)ccc2ccccc23	1	0.94	0.001499	2
64	CCCCCC	0	0.88	0.000000	3,11,27
65	CN(C=O)N=O	1	1.00	0.000217	18,40
66	CC(=O)ONC(=O)c1ccccc1	1	1.00	0.000217	2,5,6,7,8
67	O=[N+]([O-])c4ccc1ccc2cccc3ccc4(c1c23)	1	1.00	0.000217	1,2,4,46,55,63,81
68	CC(=O)ON(O)C(=O)c1ccccc1	1	1.00	0.000217	2,5,6,7,8,66
69	CCOC(C)=O	0	0.67	0.007539	5,6,7,29,92,156
70	c1ccc2cc3ccccc3(cc2(c1))	1	0.88	0.009739	2
71	CCCCCCC	0	0.89	0.000000	3,11,27,64
72	O=Cc1ccc(cc1)[N+](=O)[O-]	1	1.00	0.000405	1,2,4,8,17,55
73	CON(OC(C)=O)C(=O)c1ccccc1	1	1.00	0.000405	2,5,6,7,8,66,68
74	Cc2c3ccccc3(cc1ccccc12)	1	1.00	0.000405	2,8,70
75	CCCN(C)N=O	1	1.00	0.000405	3,18,40,42,58,79,104,168
76	CN3C2c4ccccc4(c1ccccc1C23)	1	1.00	0.000405	2,8,42,51,130,168
77	Nc1ccc(cc1)c2ccccc2	1	0.93	0.004959	2
78	CN(C)CCCN	1	0.93	0.004959	3,42,104,168
79	CCNN=O	1	0.93	0.004959	18,42
80	N=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.000757	1,13,16
81	O=[N+]([O-])c2cccc1ccccc12	1	1.00	0.000757	1,2,4,55
82	CCCCN(CC)N=O	1	1.00	0.000757	3,11,18,32,40,42,43,58,75,79,100,104,108,146,168
83	O=C(N)C=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.000757	1,13,16,23,28,36,42
84	O=[N+]([O-])c2ccc(C=Cc1ccccc1)cc2	1	1.00	0.000757	1,2,4,8,17,50,55,95
85	CN(N=O)C(=O)N	1	0.92	0.008970	18,40,65
86	FC(F)F	0	0.79	0.000001	
87	O=C(NOCc1ccccc1)c2ccccc2	1	1.00	0.001420	2,8
88	O=CON(OCc1ccccc1)C(=O)c2ccccc2	1	1.00	0.001420	2,5,8,87,90
89	N=[N+]=[N-]	1	1.00	0.001420	
90	O=C(c1ccccc1)N(O)OCc2ccccc2	1	1.00	0.001420	2,8,87
91	c1ccc(cc1)OCC2CO2	1	1.00	0.001420	2,3,7,9,12,15,21,92
92	CCOC	0	0.70	0.002655	7
93	COCC1CO1	1	0.92	0.008712	3,7,9,12,15,92
94	O=C(c1ccccc1)Cl	1	0.92	0.008712	2,8,34
95	c1ccc(cc1)C=Cc2ccc(cc2)N	1	0.92	0.008712	2,8
96	CCC(C)C	0	0.76	0.000110	3,11,14
97	c1cc(cc(c1)N)N	1	1.00	0.002672	2
98	OCCBr	1	1.00	0.002672	7,22
99	COc1nsc2ccccc12	1	1.00	0.002672	2
100	CCCN(CC)N=O	1	1.00	0.002672	3,18,40,42,58,75,79,104,108,168
101	Cc1ccc(cc1(N))N	1	1.00	0.002672	2,8,25,97
102	C=CC(O)=O	0	0.81	0.000001	5,6,7,23,153
103	CC(C)=O	0	0.74	0.000915	3
104	CCCN	0	0.73	0.002345	3,42
105	OC(=O)C=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.005047	1,5,6,7,13,16,23,28,36,102,153
106	c1ccc(N)c(c1)N	1	1.00	0.005047	2
107	CCCCON(C=O)OC(C)=O	1	1.00	0.005047	3,5,6,7,11,30,110
108	CCN(CC)N=O	1	1.00	0.005047	18,40,42,58,79,168
109	COS(C)(=O)=O	1	1.00	0.005047	41
110	CCCCONOC(C)=O	1	1.00	0.005047	3,5,6,7,11,30
111	O=C(ON(OCc1ccccc1)C(=O)c2ccccc2)c3ccccc3	1	1.00	0.005047	2,5,8,62,87,88,90
112	CN(CCO)N=O	1	1.00	0.005047	7,18,40,42,58,79,168
113	CCOS(C)(=O)=O	1	1.00	0.005047	7,41,109
114	O=NNCCCl	1	1.00	0.005047	10,18,42,61,79
115	CNCCCl	1	1.00	0.005047	10,42,61,168
116	CCCCCCCC	0	0.90	0.000000	3,11,27,64,71
117	CCCC(=O)O	0	0.82	0.000001	3,5,6,7,11,30,56,119
118	C=C(C)C=O	0	0.77	0.000226	3,23
119	CCCC=O	0	0.76	0.000623	3,11
120	C=CC(=O)OC	0	0.73	0.002729	5,6,7,23,92,102,153
121	COC(=O)C=Cc1ccc(o1)[N+](=O)[O-]	1	1.00	0.009575	1,5,6,7,13,16,23,28,36,92,102,105,120,153
122	O=NN(CCCl)C(=O)N	1	1.00	0.009575	10,18,40,42,58,61,65,79,85,114,115,125,128,168
123	O=C(O)c1cccc(c1)[N+](=O)[O-]	1	1.00	0.009575	1,2,4,5,8,55,62
124	O=NN1CCCCC1	1	1.00	0.009575	3,11,18,27,32,40,42,43,58,75,79,100,104,108,146,168
125	CCN(N=O)C(=O)N	1	1.00	0.009575	18,40,42,58,65,79,85,168
