no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
1	O=[N+]([O-])c1ccc2ccccc2c1	1	0.93	0.000000	
2	O=NN(C)C	1	0.93	0.000000	
3	n1ccc(N)c2ccc(cc12)	1	0.90	0.000000	99
4	c1oc(cc1)[N+](=O)[O-]	1	1.00	0.000000	
5	O=[N+]([O-])c1ccc(c2ccccc2)c(c1)	1	0.97	0.000000	60
6	Nc4ccc(N)cc4N	1	0.91	0.000000	70,95,105
7	C1C=Cc2ccccc2C1	1	0.83	0.000000	
8	N1CC1	1	0.96	0.000000	
9	c1cc([N+](=O)[O-])sc1	1	1.00	0.000000	
10	n1ccnc2c1ccc(N)c2	1	0.96	0.000007	90
11	c1ccc2c(c1)cc3ccc(cc3c2)C	1	0.91	0.000000	81
12	Nc1c(ncn1)	1	0.79	0.001804	
13	n1cc(nc2ccc3c(ncn3C)c12)	1	0.81	0.008969	90
14	O(c1ccccc1)CC2OC2	1	0.88	0.000797	92,97
15	O=C1c2ccccc2C(=O)c3c(O)ccc(O)c13	1	0.97	0.000000	59
16	N(O)c1ccc(C=C)cc1	1	1.00	0.000001	104
17	c1ccc2ccc3ccc(cc3c2c1)N	1	0.95	0.000000	49,80
18	O(Cc1cccc2ccccc12)C	1	0.97	0.000000	39,82
19	O=C(c1ccc(cc1)NO)	1	0.97	0.000001	104
20	O=C(c1ccccc1)Cl	1	0.94	0.001499	
21	C1=Cc2cccc3cccc1c23	1	1.00	0.000000	82
22	O1CC1CCc2ccc(cc2)	1	0.77	0.001110	97
23	C(O)C=CCl	1	0.86	0.002210	
24	OCC(CBr)	1	0.84	0.003843	93
25	[N-]=[N+]	1	0.97	0.000000	
26	n1c2ccc(cc2c(cc1))C	1	0.68	0.135749	99
27	O=CC1(OC1)C	1	0.83	0.006113	97
28	n1cccc2c1ccc3c2ncn3	1	0.93	0.004959	99
29	c2nc3C(=O)C=CC(=O)c3cc2	1	1.00	0.255933	
30	O=Nc1ccc(OC)cc1	1	0.90	0.001109	
31	SC(=CCl)Cl	1	1.00	0.000063	
32	O=C1c2cccc(N)c2C(=O)c3ccccc13	1	0.93	0.000007	
33	Nc1ccc2c(c1)c3ccccc3n2	1	0.96	0.000022	38,49
34	Oc1ccc2ccc3ccc(cc3c2c1)	1	0.78	0.000500	80
35	C(c1ccccc1)COC=C	1	0.95	0.000074	
36	c1cc2cccc3c4cc(ccc4c(c1)c23)	1	0.89	0.000000	
37	N(O)c1ccc(Oc2ccccc2)cc1	1	0.96	0.000012	54
38	c1ccc2c(c1)c3ccccc3n2	1	0.88	0.000001	
39	O(Cc1cccc2ccccc12)	1	0.87	0.000000	82
40	c1ccc2c3ccccc3CCc2c1	1	0.89	0.000000	
41	n1cc2ccccc2s1	1	0.95	0.000040	
42	P(=O)(N)N(C)CC	1	1.00	0.005047	
43	C(N)Cl	1	1.00	0.005047	
44	c1ccc(C=Cc2ccc(N)cc2)cc1	1	0.93	0.000007	104
45	c1cc(ccc1NCCCl)	1	0.78	0.018666	106
46	N(c1ccc(N=Nc2ccccc2)cc1)C	1	0.78	0.001447	105
47	O=C(NCc1ccccc1)C	1	0.40	0.140734	
48	c1cc2ccc3cccc4ccc(c1)c2c34	1	0.88	0.000000	80
49	Nc1cccc(c1)c2ccccc2	1	0.93	0.000000	
50	O=[N+]([O-])c1cccc2cccc(c12)	1	0.93	0.000000	
51	O=C(Nc1ccc(cc1)c2ccccc2)	1	0.81	0.003322	60
52	O=Cc1cccc(c1)[N+]	1	0.92	0.000001	
53	O=[N+]([O-])c1cc(N)c(c(N)c1)	1	0.92	0.000121	95
54	c1ccc(Oc2ccc(N)cc2)cc1	1	0.95	0.000000	
55	COC=CC=CC	1	0.79	0.037291	
56	N(=N)NC	1	1.00	0.001420	
57	ONc1ccc(cc1)S	1	0.86	0.027960	
58	O1CC1Cc2ccc(cc2)	1	0.72	0.042590	97
59	O=C(c1ccccc1O)c2ccccc2	1	0.82	0.000000	
60	Nc1ccc(cc1)c2ccccc2	1	0.89	0.000000	
61	c1ccc2c(c1)ccc3c2cc4ccccc4c3	1	0.86	0.000000	80,81
62	c1ccc2c(c1)cc3ccc(cc3c2C)	1	0.91	0.000000	81,82
63	c1ccc2c(ccc3c4ccccc4ccc23)c1	1	0.85	0.000000	80
64	c1c2ccccc2nc3ccccc13	1	0.91	0.000000	99
65	O=CC=C(C(=O)c1ccccc1)	1	0.62	0.782310	
66	n1cc(cc2c1ncn2)	1	0.82	0.026134	
67	Nc1nccn1C	1	0.86	0.000000	
68	C1C(C=C(C))C1(C)C	1	0.81	0.041943	182
69	Nc1ccc(cc1)[N+](=O)[O-]	1	0.89	0.000000	105
70	Nc1ccc(cc1N)	1	0.83	0.000000	
71	N=CC=C	1	0.36	0.007952	
72	O=[N+]([O-])c1ccc(cc1)CO	1	0.88	0.000488	104
73	CCNCCCl	1	0.85	0.000001	106
74	O=S(=O)(OCC)	1	0.88	0.000488	
75	c1ccc2c3ccccc3Cc2c1	1	0.77	0.000030	
76	c1c2ccccc2n(c1)C	1	0.79	0.007984	
77	C(CBr)Br	1	0.58	0.721558	93
78	Nc1ccccc1F	1	0.79	0.021824	
79	c1ccc(N)c(c1N)C	1	0.67	0.147117	95
80	c1ccc2c(c1)ccc3cc(ccc23)	1	0.87	0.000000	
81	c1ccc2c(c1)cc3ccccc3c2	1	0.87	0.000000	
82	c1ccc2ccccc2c1C	1	0.84	0.000000	
83	Nc1ccc(cc1)Cc2ccccc2	1	0.56	0.879371	104
84	Oc1ccc2Cc3ccccc3Oc2c1	1	0.72	0.106018	
85	C(Cl)(Cl)Cl	1	0.65	0.300172	
86	O(c1ccccc1N)C	1	0.74	0.000970	
87	NN(c1ccccc1)	1	0.68	0.084038	
88	n1c(N)n(c2ccccc12)	1	0.83	0.000003	
89	O=C(N(O))C	1	0.77	0.002159	
90	n1ccnc2c1cccc2	1	0.83	0.000000	
91	c1cc(c(N)cc1N)C	1	0.72	0.004431	95,104
92	OCC1OC1	1	0.79	0.000000	97
93	C(C)Br	1	0.67	0.003600	
94	C(OCC)N	1	0.61	0.197768	98
95	Nc1cccc(N)c1	1	0.79	0.000000	
96	c1c(nn(c1))	1	0.93	0.004959	
97	C1OC1	1	0.73	0.000000	
98	C(O)N	1	0.62	0.073603	
99	c1ccc2cccnc2c1	1	0.71	0.000000	
100	N=NC	1	0.82	0.000003	
101	O=CC(=C)Cl	1	0.63	0.210036	106
102	n1cnc2c(ncn2)c1N	1	0.87	0.000183	
103	NNCC	1	0.82	0.000000	
104	Cc2ccc(N)cc2	1	0.70	0.000000	
105	Nc1ccc(N)cc1	1	0.81	0.000000	
106	CCCl	1	0.65	0.000045	
107	C=NN1N=Nc2c([nH]c3ccccc23)C1=O	1	0.00	1.000000	56
108	NC([N+])	1	1.00	0.255933	
109	n1c2ccc(cc2[s+]c3cc(N)c(cc13))N	1	1.00	0.255933	
110	O=Nn1cc(c2ccccc12)CC	1	1.00	0.255933	
111	O=CC(=CC)C=CC	1	0.82	0.076957	
112	O=C1OCC1	1	0.75	0.630912	
113	C(O)CCCCCCCC=CCC	0	0.93	0.000000	163
