no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
1	C1CO1	1	0.73	0.000000	
2	[C;D3]1[C;D2]O1	1	0.91	0.000000	1
3	c1ccccc1[C;D3]2[C;D2]O2	1	1.00	0.002672	1
4	[F,Cl,Br][C;D2;H2]C1CO1	1	1.00	0.130941	1
5	[C;D1]C12CCCCC1O2	0	1.00	0.094184	1
6	C1Cc2ccc3cccnc3c2C4OC14	1	1.00	0.130941	1
7	C3CCC2C(C3)C4OC4c1ccccc21	0	1.00	0.042835	1
8	[$(C1[N,O]CC2OC12),$(C1C[N,O]C2OC12)]	1	0.86	0.027960	1
9	[O;D1;H1][$(C1ccC2OC2C1[O;D1;H1]),$(C1C=CC2OC2C1[O;D1;H1])]	1	0.80	0.002015	1
10	C1CN1	1	0.96	0.000000	
11	C1CC1	0	0.61	0.000000	
12	[C;H1;D2]([Cl,Br])=C	1	0.65	0.325348	
13	NC(=[N,O,S])SCC(Cl)=C	1	1.00	0.255933	
14	[Cl,Br]CC([Cl,Br])=[C;H2;D1]	1	1.00	0.130941	
15	ClC(Cl)=C	1	0.75	0.035264	
16	[Cl,Br,I][C;H1;D3][$([C;H3;D1]),$([C;H2;D2][C,O,N,S,Cl,Br,I])]	1	0.71	0.007040	
17	[Cl,Br][C;D3;H1]C=C	1	0.95	0.000135	
18	c1ccccc1C([Cl,Br])[$([C;H3;D1]),$([C;H2;D2]S)]	0	1.00	0.094184	
19	[Cl,Br][C;H2;D2]c1ccc([C;H2;D2][Cl,Br])cc1	0	0.67	0.594525	
20	[Cl,Br]Cc1cccc(C[Cl,Br])c1	0	1.00	0.207048	
21	[Cl,Br]Cc1ccccc1C[Cl,Br]	0	0.67	0.594525	
22	[Cl,Br]Cc1ccc([Br,F])cc1	0	1.00	0.094184	
23	[c;D2]1ccc(C[Cl,Br])cc1	1	0.77	0.003205	
24	[$(cCl),$(cBr),$(cF)]1ccc([C;D2][Cl,Br])cc1	0	0.80	0.184250	
25	[$(c[C;D1]),$(cO[C;D1]),$(cC#N)]1ccc([C;D2][Cl,Br])cc1	1	0.63	0.735122	
26	[$(C(F)(F)F),$(C(F)(Cl)F)]	0	0.81	0.000000	
27	[*]C([*])([*])[C;H2;D2][F,Cl]	0	1.00	0.001829	
28	[C;!$(C=*);!$(C#*)]C([C;!$(C=*);!$(C#*)])(O)C#C	0	1.00	0.000831	
29	BrCC(Br)([*])[*]	0	0.88	0.027141	
30	[C;!R][C;!R][C;!R]([C;!R])([C;!R][C;!R])[C;!R]O	1	1.00	0.503956	
31	[$(CC1(C)CCC(C)(C)C1),$(CC1(C)CCCC(C)(C)C1)]	0	0.90	0.000001	
32	ClC(Cl)(Cl)[a]	1	1.00	0.067462	
33	[C,N][N+]([C,N])([C,N])[C,N]	0	0.73	0.037334	
34	Brc1ccccc1	0	0.66	0.000371	
35	Cl[C;D2][C;D2]Nc3ccc(cc3)-c1nc2ccccc2n1	0	1.00	0.207048	37
36	[N;H2;D1]a	1	0.73	0.000000	37
37	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])][a]	1	0.68	0.000000	
38	[N;D1;H2;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccccc1S([O;H1;D1])(=O)=O	1	0.60	1.000000	37,36
39	[N;H2;D1]c1ccc(cc1)S([O;H1;D1])(=O)=O	0	1.00	0.042835	37,36
40	[N;H2;D1]c1ccc(cc1)S(=O)(=O)N[*]	0	1.00	0.000171	37,36
41	[N;H2;D1]c1ccc(cc1)S(=O)(=O)N[a]	0	1.00	0.004025	37,36,40
42	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]1c3ccccc3[S]c2ccccc12	0	1.00	0.004025	
43	C[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1snc2ccccc12	0	1.00	0.000378	37
44	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccccc1C([C,N,O])=O	0	0.64	0.007952	37
45	[N;H2;D1]c1ccccc1C(=O)O[*;!$([C;H3;D1])]	0	1.00	0.000078	37,36
46	[C;H3;D1]OC(=O)c1ccccc1[N;H2;D1]	1	0.67	1.000000	37
47	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccc(C=CC=O)cc1	0	0.82	0.028803	37
48	[N;!R;!R2;!R3;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccc2C=CC(=[C,O])Oc2c1	0	1.00	0.008855	37
49	[N;$([R,R2,R3]);!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccc2C=CC(=[C,O])Oc2c1	1	0.67	1.000000	37
50	Cc1cc(cc(C)c1[N;H2;D1])-c2ccccc2	0	1.00	0.094184	37,36
51	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1ccc(cc1)-c2ccc(cc2)-c3ccc(cc3)-c4ccc([N;!$([N+]);!$(NC=O);!$(N=[N,C,O])])cc4	0	1.00	0.207048	37
52	[N;H2;D1]c1ccc(cc1)-c2ccc([N;H2;D1])cc2	1	0.91	0.000368	37,36
53	[N;H2;D1]c1ccc(cc1)-c2ccc([N;H2;D1])c(Cl)c2	1	1.00	0.130941	37,36
54	[N;H2;D1]c1ccc(c(Cl)c1)-c2ccc([N;H2;D1])cc2	1	1.00	0.503956	37,36
55	[N;!$([N+]);!$(NC=[O,S]);!$(N=[N,C,O])][$(c1c(C(F)(F)F)cccc1),$(c1cc(C(F)(F)F)ccc1)]	0	1.00	0.000378	37
56	CC(C)(C)c1ccccc1[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]	0	0.80	0.184250	37
57	[c;!$(c12ccccc2cccc1)]1[c;!$(c12ccccc2cccc1)][c;!$(c12ccccc2cccc1)][c;!$(c12ccccc2cccc1)][c;!$(c12ccccc2cccc1)][c;!$(c12ccccc2cccc1)]1[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]C([C;!R])[C;!R]	0	0.70	0.201673	37
58	C1CC1[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c2ccccc2	1	0.83	0.229848	37
59	[O;H1;D1]CC[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1cccc(O)c1	0	1.00	0.094184	37
60	C1c2ccccc2[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c3ccccc13	1	1.00	0.503956	37
61	c1ccccc1N[$(c2c(Nc3ccccc3)cccc2),$(c2cc(Nc3ccccc3)ccc2),$(c2ccc(Nc3ccccc3)cc2)]	1	1.00	0.503956	37
62	a[N;D3](a)[a]	0	1.00	0.207048	37
63	C1C[N;D3](CC[$(N),$([O;D2])]1)[$([a]1[a;!R2;!R3][a;!R2;!R3][a;!R2;!R3][a;!R2;!R3][a;!R2;!R3]1),$([a]1[a;!R2;!R3][a;!R2;!R3][a;!R2;!R3][a;!R2;!R3]1)]	0	1.00	0.042835	37
64	Fc1ccc2N(C3CC3)C4=CC(=O)NC(=O)N4c2c1	1	1.00	0.130941	37
65	[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1[c;!R2;!R3][c;!R2;!R3][c;!R2;!R3][c;!R2;!R3]n1	0	0.88	0.000360	37
68	[N;H2;D1]c1ccn[n]1	1	1.00	0.503956	37,36
69	[*]Nc1cnc[n]1	1	0.76	0.014030	37
70	[*]Nc1ncc[n]1	1	0.70	0.183439	37
71	Nc1n(O)cnc2nc[n]c12	1	1.00	0.255933	37,36
72	[O-][N+;D3](=O)a	1	0.85	0.000000	
73	[O;H1;D1]c1ccccc1[N+]([O-])=O	0	0.57	0.176610	72
74	OS(=O)(=O)c1ccccc1[N+]([O-])=O	0	1.00	0.207048	72
75	OS(=O)(=O)c1cccc(c1)[N+]([O-])=O	0	0.75	0.336337	72
76	OS(=O)(=O)c1ccc(cc1)[N+]([O-])=O	0	1.00	0.207048	72
77	[O-][N+](=O)c1ccccc1C(F)(F)F	0	1.00	0.455070	72
78	[O-][N+](=O)c1cccc(c1)C(F)(F)F	0	0.80	0.184250	72
79	[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl	0	1.00	0.207048	72
80	[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	0	1.00	0.455070	72,92,79
81	[O-][N+](=O)c1ccc(Br)cc1	1	1.00	0.503956	72
82	[O-][N+](=O)c1cccc(Br)c1	1	1.00	0.130941	72
83	[O-][N+](=O)c1ccccc1Br	1	1.00	0.503956	72
84	CC(C)(C)c1ccccc1[N+]([O-])=O	0	1.00	0.019478	72
85	CC(C)(C)c1cccc(c1)[N+]([O-])=O	0	1.00	0.094184	72
86	CC(C)(C)c1ccc(cc1)[N+]([O-])=O	0	1.00	0.207048	72
87	[O-][N+](=O)c1ccccc1[$([C;D2;H2][O;H1;D1]),$([C;D2;H2]OC),$([C;D2;H2]OC(=O))]	0	0.70	0.201673	72
88	[O-][N+](=O)c1cccc([$([C;D2;H2][O;H1;D1]),$([C;D2;H2]OC),$([C;D2;H2]OC(=O))])c1	0	1.00	0.019478	72
89	[$([O;H1;D1]),$(OC),$(OC=O)]Cc1ccc(cc1)[N+]([O-])=O	1	0.88	0.000488	72
90	Cc1cc(C)c(c(c1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O	0	1.00	0.094184	72
91	[O-][N+](=O)c1ccc(COC(=O)[*])cc1	1	1.00	0.130941	72
92	[O-][N+](=O)c1c([Cl,O,$(CCC)])cccc1[Cl,O,$(CCC)]	0	0.88	0.027141	72
