no.	SMARTS	Toxicity	Accuracy	Fisher P
1	O=[N+]([O-])c1ccc(N=N)c(c1)[N+](=O)[O-]	1	1.000	1
2	O=[N+]([O-])c1ccccc1SSC(=CCl)	1	1.000	1
3	SC(=CCl)Cl	1	1.000	1
4	c1oc(cc1)[N+](=O)[O-]	1	1.000	1
5	c1cc([N+](=O)[O-])sc1	1	1.000	1
6	[N-]=[N+]=NCCC	1	1.000	1
7	O=C(ONC(=O)c1ccccc1)	1	1.000	1
8	c1c2cc(ccc2ns1)[N+](=O)[O-]	1	1.000	1
9	n1ccnc2c1cccc2C	1	1.000	1
10	O=NN(CCCC)CCC	1	1.000	1
11	O=NN(COCC)	1	1.000	1
12	O=C(OCC1OC1)	1	1.000	1
13	c1cc2cc(ccc2[nH]1)[N+](=O)[O-]	1	1.000	1
14	O=NN(CNC)C	1	1.000	1
15	O=C1OCC(=C1Cl)	1	1.000	1
16	c1ccc2c(c1)c(ccc2)CBr	1	1.000	1
17	n1c(OC)c2ccccc2s1	1	1.000	1
18	O=NN1CCCCC1	1	1.000	1
19	O=NN(CN)CCC	1	1.000	1
20	c1cnc2c(nc3ccccn23)c1	1	1.000	1
21	O(C=CC=CC=CC=CC=CC)C	1	1.000	1
22	O=[N+]([O-])c1cccc(c1[N+](=O)[O-])	1	1.000	1
23	c1c(O)cccc1CC2OC2	1	1.000	1
24	O=CN(O)c1ccc(O)cc1	1	1.000	1
25	O=Nc1nccn1	1	1.000	1
26	P(=O)(N)N(C)CC	1	1.000	1
27	n1ccc(NCCC)c2ccc(cc12)	1	1.000	1
28	O=[N+]([O-])c1ccc2c3ccccc3cc(c2c1)	1	1.000	1
29	O=[N+]([O-])c1ccc(cc1)c2ccc(N)cc2	1	1.000	1
30	O=C(N)OCc1ccc(cc1)[N+](=O)[O-]	1	1.000	1
31	O=C(OCc1ccc(cc1)[N+](=O)[O-])CC	1	1.000	1
32	O1C=CC2c3ccc(OC)cc3OC12	1	1.000	1
33	O=[N+]([O-])c1ccccc1Cc2ccccc2	1	1.000	1
34	O=C(N(O)c1ccc(cc1)c2ccccc2)	1	1.000	1
35	Nc1ccc(Oc2ccc(cc2)NO)cc1	1	1.000	1
36	O=[N+]([O-])c1cc(ccc1)N(CC)CC	1	1.000	1
37	O=C(Nc1ncc([N+](=O)[O-])s1)NCC	1	1.000	1
38	O=C(OC(C)c1ccc(OC)cc1)C	1	1.000	1
39	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])[n+]2ccc(cc2)	1	1.000	1
